lambda,train_mse,train_rmse,train_cos,train_top3,val_mse,val_rmse,val_cos,val_top3,val_top5,test_mse,test_rmse,test_cos,test_top3,test_top5
9.999999999999999e-06,0.14049250125080462,0.3748232933674275,0.6488177910531142,0.0,0.14059915210661272,0.3749655345583281,0.6428447181876469,0.0,0.0070028011204481795,0.1406255892861073,0.3750007857139866,0.6451605834297449,0.0,0.006543075245365322
2.1544346900318823e-05,0.14049250142091907,0.3748232935943537,0.6488177903475486,0.0,0.14059915315873067,0.37496553596128096,0.6428447165859935,0.0,0.0070028011204481795,0.1406255916450066,0.3750007888591791,0.6451605812638243,0.0,0.006543075245365322
4.641588833612782e-05,0.1404925017874185,0.37482329408325,0.6488177888274546,0.0,0.14059915542544035,0.3749655389838383,0.6428447131353348,0.0,0.0070028011204481795,0.140625596727078,0.37500079563525995,0.6451605765974872,0.0,0.006543075245365322
0.0001,0.14049250257701312,0.3748232951365391,0.6488177855525168,0.0,0.14059916030887332,0.3749655454956806,0.6428447057011093,0.0,0.0070028011204481795,0.14062560767596183,0.3750008102337405,0.6451605665441549,0.0,0.006543075245365322
0.00021544346900318823,0.14049250427812202,0.3748232974057536,0.6488177784969027,0.0,0.1405991708297015,0.3749655595247402,0.6428446896845285,0.0,0.0070028011204481795,0.14062563126411867,0.375000841684547,0.645160544884852,0.0,0.006543075245365322
0.00046415888336127773,0.14049250794295234,0.3748233022944976,0.648817763296161,0.0,0.14059919349516775,0.37496558974813643,0.6428446551777238,0.0,0.0070028011204481795,0.14062568208095,0.3750009094401639,0.6451604982210408,0.0,0.006543075245365322
0.001,0.14049251583813624,0.3748233128263719,0.6488177305477039,0.0,0.14059924232192905,0.37496565485645356,0.6428445808344717,0.0,0.0070028011204481795,0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.002154434690031882,0.14049253284568897,0.3748233355137977,0.648817659995835,0.0,0.1405993474950885,0.3749657951001511,0.6428444206640309,0.0,0.0070028011204481795,0.14062602734969692,0.3750013697970941,0.6451601810833175,0.0,0.006543075245365322
0.004641588833612777,0.14049256947758382,0.3748233843793418,0.6488175080082406,0.0,0.14059957398679232,0.37496609711651574,0.6428440755744635,0.0,0.0070028011204481795,0.14062653512995865,0.37500204683435884,0.6451597144017345,0.0,0.006543075245365322
0.01,0.14049264835332795,0.37482348959654055,0.6488171806156154,0.0,0.14060006149864465,0.3749667471905271,0.6428433320420086,0.0,0.0070028011204481795,0.1406276280384529,0.3750035040348995,0.6451587088465163,0.0,0.006543075245365322
0.021544346900318822,0.14049281807631359,0.3748237160003534,0.6488164755231018,0.0,0.14060110972861106,0.3749681449518226,0.6428417298732156,0.0,0.0070028011204481795,0.14062997767972482,0.3750066368475694,0.6451565418846357,0.0,0.006543075245365322
0.046415888336127774,0.14049318276546216,0.3748242024809259,0.6488149576193104,0.0,0.14060335845521885,0.37497114349669475,0.6428382768168769,0.0,0.0070028011204481795,0.14063501693203234,0.3750133556715445,0.6451518707050199,0.0,0.006543075245365322
0.1,0.14049396402287753,0.37482524464459105,0.6488116927877107,0.0,0.14060815904509677,0.374977544721143,0.642830831413416,0.0,0.0070028011204481795,0.14064576858170458,0.37502769041992695,0.6451417948006593,0.0,0.006543075245365322
0.21544346900318823,0.14049562707433805,0.3748274630737962,0.648804683494799,0.0,0.14061830148925458,0.3749910685459783,0.6428147624786256,0.0,0.0070028011204481795,0.1406684550724434,0.3750579356212096,0.6451201110746605,0.0,0.006543075245365322
0.46415888336127725,0.14049912069476175,0.3748321233495893,0.6487897209036311,0.0,0.14063926935411034,0.37501902532286324,0.6427800086809763,0.0,0.0070028011204481795,0.14071522932815494,0.3751202864790905,0.6450732531746496,0.0,0.006543075245365322
1.0,0.14050627618311187,0.3748416681521838,0.6487580669321087,0.0,0.1406807510694219,0.3750743273931474,0.6427044924905032,0.0,0.0070028011204481795,0.14080723410805784,0.37524290014343753,0.6449709476648804,0.0,0.006543075245365322
2.154434690031882,0.14052029946456573,0.37486037329193084,0.6486924095183229,0.0,0.14075625528027058,0.3751749662227886,0.6425388266926652,0.0,0.0056022408963585435,0.1409720884077235,0.37546249933611675,0.6447603654764534,0.0,0.006543075245365322
4.641588833612772,0.14054619517588782,0.37489491217658294,0.648559159952836,0.0,0.14087233164153176,0.3753296306468912,0.6423021159535309,0.0,0.0070028011204481795,0.141221999913633,0.3757951568522843,0.6444315548419095,0.0,0.006543075245365322
10.0,0.1405917354496591,0.37495564464301523,0.6483036846518792,0.0,0.1410172615640397,0.37552265119968425,0.6421248931355799,0.0,0.0070028011204481795,0.1415282957868264,0.3762024664815828,0.6438371306450119,0.0,0.006543075245365322
21.54434690031882,0.14067170154408476,0.37506226355644573,0.6478483487239268,0.0,0.14117712009653577,0.37573543896808,0.6421424294804744,0.0,0.0070028011204481795,0.1418237149072753,0.3765948949564708,0.6432868678405042,0.0,0.006543075245365322
46.41588833612773,0.14081537695069307,0.37525375008211853,0.6470914606161057,0.0,0.1413590212330694,0.3759774211745559,0.6420403763060248,0.0,0.0056022408963585435,0.1420764016423961,0.37693023444981977,0.6426212802841602,0.0,0.0054525627044711015
100.0,0.1410720892079134,0.37559564588519045,0.646013754034487,0.0,0.14160903374358141,0.3763097577044494,0.6408555230792223,0.0,0.004201680672268907,0.14231206166335378,0.377242709224915,0.6416917560628506,0.0,0.004362050163576881
215.44346900318823,0.1415175296956397,0.3761881573038148,0.6447068662369784,0.0,0.14203363873088123,0.3768735049467941,0.6392965823470571,0.0,0.0028011204481792717,0.14268394866080447,0.37773528913884186,0.639990014207118,0.0,0.0010905125408942203
464.1588833612773,0.1422739260725193,0.3771921606721424,0.6433776675733001,0.0,0.14276525846718346,0.3778429018351191,0.6375658947566494,0.0,0.0014005602240896359,0.14334846454469796,0.37861387262579005,0.6381665346289489,0.0,0.0
1000.0,0.14351889431664497,0.3788388764589043,0.6416496625919351,0.0,0.14397936664241984,0.37944613141053346,0.6350364994837449,0.0,0.0014005602240896359,0.14448795267443387,0.3801157095864809,0.6358441394713104,0.0,0.0
